user_id,name,rating,appid,age,gender
151603712,the elder scrolls v skyrim,5,72850,25.0,female
59945701,the elder scrolls v skyrim,3,72850,26.0,female
92107940,the elder scrolls v skyrim,5,72850,26.0,male
250006052,the elder scrolls v skyrim,5,72850,26.0,female
11373749,the elder scrolls v skyrim,5,72850,21.0,female
54103616,the elder scrolls v skyrim,2,72850,28.0,female
56038151,the elder scrolls v skyrim,1,72850,22.0,female
94088853,the elder scrolls v skyrim,5,72850,21.0,male
116085629,the elder scrolls v skyrim,4,72850,26.0,male
148510973,the elder scrolls v skyrim,4,72850,20.0,female
9823354,the elder scrolls v skyrim,5,72850,22.0,male
100519466,the elder scrolls v skyrim,1,72850,22.0,male
180789959,the elder scrolls v skyrim,1,72850,20.0,male
168031436,the elder scrolls v skyrim,1,72850,23.0,female
41883322,the elder scrolls v skyrim,5,72850,22.0,female
170491009,the elder scrolls v skyrim,3,72850,21.0,female
190231757,the elder scrolls v skyrim,1,72850,29.0,male
65716118,the elder scrolls v skyrim,1,72850,25.0,female
98152188,the elder scrolls v skyrim,5,72850,28.0,male
162649407,the elder scrolls v skyrim,5,72850,19.0,male
128790593,the elder scrolls v skyrim,2,72850,29.0,female
130201800,the elder scrolls v skyrim,5,72850,30.0,female
71082079,the elder scrolls v skyrim,2,72850,23.0,female
25096601,the elder scrolls v skyrim,4,72850,29.0,female
42061089,the elder scrolls v skyrim,1,72850,26.0,female
60760816,the elder scrolls v skyrim,5,72850,22.0,female
72842694,the elder scrolls v skyrim,5,72850,28.0,male
20200395,the elder scrolls v skyrim,5,72850,23.0,male
4834220,the elder scrolls v skyrim,3,72850,28.0,female
65229865,the elder scrolls v skyrim,3,72850,21.0,male
65958466,the elder scrolls v skyrim,4,72850,27.0,male
77905942,the elder scrolls v skyrim,5,72850,30.0,female
198249024,the elder scrolls v skyrim,5,72850,19.0,male
68224834,the elder scrolls v skyrim,1,72850,26.0,female
34177747,the elder scrolls v skyrim,1,72850,22.0,female
44866715,the elder scrolls v skyrim,1,72850,21.0,male
142001340,the elder scrolls v skyrim,2,72850,24.0,male
104055167,the elder scrolls v skyrim,5,72850,21.0,male
117531196,the elder scrolls v skyrim,1,72850,18.0,male
64787956,the elder scrolls v skyrim,1,72850,21.0,male
131973876,the elder scrolls v skyrim,1,72850,30.0,female
44482198,the elder scrolls v skyrim,2,72850,20.0,female
167202599,the elder scrolls v skyrim,5,72850,23.0,male
159129006,the elder scrolls v skyrim,1,72850,28.0,male
156799348,the elder scrolls v skyrim,1,72850,27.0,male
68316900,the elder scrolls v skyrim,5,72850,24.0,female
102825821,the elder scrolls v skyrim,1,72850,25.0,female
147602462,the elder scrolls v skyrim,5,72850,21.0,female
52907921,the elder scrolls v skyrim,1,72850,20.0,female
12610800,the elder scrolls v skyrim,3,72850,21.0,female
78341587,the elder scrolls v skyrim,1,72850,19.0,male
96014467,the elder scrolls v skyrim,5,72850,27.0,male
215160630,the elder scrolls v skyrim,2,72850,21.0,female
131940023,the elder scrolls v skyrim,4,72850,19.0,female
136495026,the elder scrolls v skyrim,2,72850,23.0,male
24366790,the elder scrolls v skyrim,5,72850,24.0,female
89732768,the elder scrolls v skyrim,3,72850,22.0,male
87907200,the elder scrolls v skyrim,3,72850,23.0,female
110489310,the elder scrolls v skyrim,3,72850,27.0,female
107377573,the elder scrolls v skyrim,2,72850,29.0,male
115037563,the elder scrolls v skyrim,1,72850,20.0,male
70970228,the elder scrolls v skyrim,3,72850,29.0,female
306690580,the elder scrolls v skyrim,1,72850,20.0,male
191747590,the elder scrolls v skyrim,2,72850,24.0,male
56333620,the elder scrolls v skyrim,5,72850,22.0,male
92393218,the elder scrolls v skyrim,5,72850,24.0,male
85759872,the elder scrolls v skyrim,1,72850,20.0,female
72488020,the elder scrolls v skyrim,1,72850,19.0,female
205343727,the elder scrolls v skyrim,5,72850,24.0,male
106147454,the elder scrolls v skyrim,5,72850,24.0,female
57974873,the elder scrolls v skyrim,5,72850,18.0,male
100478352,the elder scrolls v skyrim,2,72850,27.0,male
233277671,the elder scrolls v skyrim,2,72850,24.0,female
71603645,the elder scrolls v skyrim,1,72850,19.0,female
84455820,the elder scrolls v skyrim,5,72850,24.0,male
141873792,the elder scrolls v skyrim,2,72850,22.0,male
37827989,the elder scrolls v skyrim,5,72850,25.0,female
96674526,the elder scrolls v skyrim,1,72850,21.0,male
13565651,the elder scrolls v skyrim,5,72850,23.0,female
92322563,the elder scrolls v skyrim,3,72850,18.0,female
158476996,the elder scrolls v skyrim,3,72850,20.0,female
101690993,the elder scrolls v skyrim,5,72850,30.0,male
53898495,the elder scrolls v skyrim,3,72850,21.0,female
136135322,the elder scrolls v skyrim,2,72850,20.0,female
69009454,the elder scrolls v skyrim,1,72850,24.0,male
67492611,the elder scrolls v skyrim,5,72850,23.0,male
45974860,the elder scrolls v skyrim,2,72850,29.0,male
85366890,the elder scrolls v skyrim,5,72850,27.0,male
80779496,the elder scrolls v skyrim,2,72850,28.0,male
24011187,the elder scrolls v skyrim,1,72850,22.0,male
24469287,the elder scrolls v skyrim,2,72850,27.0,male
39622853,the elder scrolls v skyrim,2,72850,26.0,male
116617462,the elder scrolls v skyrim,1,72850,28.0,female
11403772,the elder scrolls v skyrim,2,72850,27.0,male
82046939,the elder scrolls v skyrim,1,72850,22.0,female
111754806,the elder scrolls v skyrim,4,72850,30.0,female
27171538,the elder scrolls v skyrim,4,72850,18.0,male
94819329,the elder scrolls v skyrim,5,72850,23.0,female
119170251,the elder scrolls v skyrim,2,72850,20.0,female
99077905,the elder scrolls v skyrim,1,72850,19.0,male
116325720,the elder scrolls v skyrim,5,72850,28.0,male
9128105,the elder scrolls v skyrim,5,72850,30.0,male
127325079,the elder scrolls v skyrim,1,72850,24.0,male
152585209,the elder scrolls v skyrim,1,72850,23.0,male
258213980,the elder scrolls v skyrim,1,72850,24.0,female
118693973,the elder scrolls v skyrim,5,72850,30.0,male
149790632,the elder scrolls v skyrim,2,72850,22.0,female
59790700,the elder scrolls v skyrim,5,72850,23.0,male
96095486,the elder scrolls v skyrim,5,72850,22.0,male
66052983,the elder scrolls v skyrim,5,72850,25.0,female
93669877,the elder scrolls v skyrim,1,72850,25.0,female
164511211,the elder scrolls v skyrim,5,72850,21.0,male
59115473,the elder scrolls v skyrim,1,72850,29.0,female
225829163,the elder scrolls v skyrim,4,72850,30.0,male
104543500,the elder scrolls v skyrim,5,72850,29.0,male
103690917,the elder scrolls v skyrim,1,72850,27.0,male
287848624,the elder scrolls v skyrim,1,72850,28.0,female
71390526,the elder scrolls v skyrim,5,72850,22.0,male
58907890,the elder scrolls v skyrim,5,72850,22.0,female
111130695,the elder scrolls v skyrim,1,72850,18.0,female
181453879,the elder scrolls v skyrim,2,72850,22.0,female
138960345,the elder scrolls v skyrim,1,72850,25.0,female
120420435,the elder scrolls v skyrim,5,72850,19.0,female
72907554,the elder scrolls v skyrim,5,72850,20.0,female
83234559,the elder scrolls v skyrim,1,72850,20.0,male
98624963,the elder scrolls v skyrim,5,72850,23.0,female
122679931,the elder scrolls v skyrim,2,72850,20.0,male
110906645,the elder scrolls v skyrim,5,72850,27.0,male
30440303,the elder scrolls v skyrim,1,72850,24.0,male
298950,the elder scrolls v skyrim,5,72850,29.0,male
62878249,the elder scrolls v skyrim,4,72850,21.0,male
50801801,the elder scrolls v skyrim,4,72850,28.0,male
179772319,the elder scrolls v skyrim,1,72850,24.0,female
96282673,the elder scrolls v skyrim,1,72850,22.0,male
119211545,the elder scrolls v skyrim,1,72850,29.0,male
104408704,the elder scrolls v skyrim,5,72850,25.0,male
54293428,the elder scrolls v skyrim,5,72850,29.0,male
92025878,the elder scrolls v skyrim,5,72850,21.0,male
99723205,the elder scrolls v skyrim,1,72850,25.0,male
136866564,the elder scrolls v skyrim,3,72850,21.0,female
105384518,the elder scrolls v skyrim,5,72850,23.0,male
